PLAYER_ID,SEASON_YEAR
244,2010
255,2009
255,2010
255,2011
255,2012
283,2009
406,2009
406,2010
436,2009
436,2010
436,2011
436,2012
467,2009
467,2010
467,2011
467,2012
686,2009
686,2010
689,2009
689,2010
693,2009
693,2010
703,2009
703,2010
703,2011
703,2012
708,2009
708,2010
708,2011
708,2012
708,2013
708,2014
708,2015
711,2009
711,2010
711,2011
711,2012
714,2009
739,2009
739,2012
947,2009
948,2009
948,2010
948,2011
948,2012
951,2009
951,2010
951,2011
951,2012
951,2013
956,2009
956,2010
956,2011
959,2009
959,2010
959,2011
959,2012
959,2013
959,2014
965,2009
965,2010
965,2011
965,2012
965,2013
977,2009
977,2010
977,2011
977,2012
977,2013
977,2014
977,2015
978,2009
978,2010
979,2009
979,2010
979,2011
979,2012
979,2013
980,2009
980,2010
1088,2009
1088,2010
1112,2009
1112,2010
1112,2011
1495,2009
1495,2010
1495,2011
1495,2012
1495,2013
1495,2014
1495,2015
1497,2009
1497,2010
1497,2011
1497,2012
1497,2013
1498,2010
1499,2009
1499,2010
1499,2011
1501,2009
1502,2009
1503,2009
1503,2010
1503,2011
1503,2012
1515,2009
1515,2010
1515,2011
1533,2009
1536,2009
1536,2010
1536,2011
1536,2012
1536,2013
1563,2009
1630,2009
1630,2011
1710,2009
1710,2010
1710,2011
1712,2009
1712,2010
1712,2011
1712,2012
1712,2013
1713,2009
1713,2010
1713,2011
1713,2012
1713,2013
1713,2014
1713,2015
1713,2016
1713,2017
1713,2018
1713,2019
1715,2009
1715,2010
1716,2009
1716,2011
1717,2009
1717,2010
1717,2011
1717,2012
1717,2013
1717,2014
1717,2015
1717,2016
1717,2017
1717,2018
1718,2009
1718,2010
1718,2011
1718,2012
1718,2013
1718,2014
1718,2015
1718,2016
1719,2011
1725,2009
1729,2009
1730,2009
1730,2010
1730,2011
1733,2009
1733,2010
1733,2011
1733,2012
1733,2013
1737,2009
1737,2010
1737,2011
1737,2012
1737,2013
1737,2014
1737,2015
1740,2009
1740,2010
1740,2011
1740,2012
1740,2013
1747,2009
1752,2009
1752,2010
1763,2009
1766,2009
1802,2009
1802,2010
1802,2011
1853,2009
1853,2010
1853,2011
1853,2012
1863,2009
1863,2010
1863,2011
1882,2009
1882,2010
1882,2011
1882,2012
1882,2013
1882,2014
1882,2015
1882,2016
1884,2009
1884,2010
1884,2011
1885,2009
1885,2010
1885,2011
1885,2012
1886,2009
1888,2009
1888,2010
1888,2011
1888,2012
1889,2009
1889,2010
1889,2011
1889,2012
1889,2013
1889,2014
1889,2015
1890,2009
1890,2010
1890,2011
1890,2012
1890,2013
1890,2014
1891,2009
1891,2010
1891,2011
1891,2012
1891,2013
1891,2014
1891,2015
1891,2016
1891,2017
1894,2009
1894,2010
1894,2011
1894,2012
1894,2013
1897,2009
1897,2010
1897,2011
1897,2012
1897,2013
1897,2015
1897,2016
1899,2009
1899,2010
1902,2009
1902,2010
1902,2011
1903,2009
1903,2010
1904,2009
1905,2009
1905,2010
1905,2012
1905,2013
1905,2014
1913,2009
1922,2009
1922,2010
1922,2011
1938,2009
1938,2010
1938,2011
1938,2012
1938,2013
1938,2014
1938,2015
1938,2016
1938,2017
1952,2009
1952,2010
1952,2011
2030,2009
2030,2010
2030,2011
2030,2012
2030,2013
2030,2014
2032,2010
2034,2009
2034,2010
2034,2011
2034,2012
2034,2013
2034,2014
2034,2015
2034,2016
2037,2009
2037,2010
2037,2011
2037,2012
2037,2013
2037,2014
2037,2015
2037,2016
2037,2017
2037,2018
2038,2009
2038,2010
2038,2011
2038,2012
2039,2009
2039,2010
2039,2011
2039,2012
2041,2009
2041,2010
2045,2009
2045,2010
2045,2011
2045,2012
2045,2013
2045,2014
2046,2009
2047,2009
2047,2010
2047,2011
2047,2012
2048,2009
2048,2010
2048,2011
2049,2009
2050,2009
2050,2010
2052,2009
2052,2010
2052,2011
2052,2012
2056,2009
2059,2009
2059,2010
2059,2011
2060,2012
2060,2013
2063,2009
2063,2010
2067,2009
2067,2010
2072,2009
2072,2010
2072,2011
2073,2009
2073,2010
2073,2011
2078,2009
2078,2010
2109,2012
2124,2009
2124,2010
2137,2009
2137,2010
2137,2011
2198,2009
2198,2010
2198,2011
2198,2012
2198,2013
2199,2009
2199,2010
2199,2011
2199,2012
2199,2013
2199,2014
2199,2015
2199,2016
2199,2017
2199,2018
2199,2019
2200,2009
2200,2010
2200,2011
2200,2012
2200,2013
2200,2014
2200,2015
2200,2016
2200,2017
2200,2018
2200,2019
2201,2009
2201,2011
2201,2012
2202,2009
2202,2010
2202,2011
2202,2012
2202,2013
2202,2014
2203,2009
2203,2010
2203,2011
2203,2012
2203,2013
2205,2009
2205,2010
2205,2011
2205,2012
2205,2013
2207,2009
2207,2010
2207,2011
2207,2012
2207,2013
2207,2014
2207,2015
2207,2016
2207,2017
2207,2019
2209,2009
2209,2010
2209,2011
2209,2012
2210,2009
2210,2010
2210,2011
2210,2012
2210,2013
2210,2014
2210,2015
2210,2016
2210,2017
2211,2009
2211,2010
2211,2011
2211,2012
2212,2009
2215,2009
2215,2010
2215,2011
2215,2012
2215,2013
2216,2009
2216,2010
2216,2011
2216,2012
2216,2013
2216,2014
2216,2015
2216,2016
2216,2017
2216,2018
2217,2009
2217,2010
2217,2011
2217,2012
2217,2014
2222,2009
2222,2010
2222,2011
2222,2012
2222,2013
2222,2014
2223,2009
2223,2010
2223,2011
2223,2012
2223,2013
2223,2014
2223,2015
2224,2009
2224,2011
2224,2012
2224,2013
2225,2009
2225,2010
2225,2011
2225,2012
2225,2013
2225,2014
2225,2015
2225,2016
2225,2017
2225,2018
2229,2009
2229,2011
2229,2012
2229,2013
2230,2009
2230,2010
2230,2011
2239,2009
2240,2009
2240,2010
2240,2011
2243,2009
2243,2010
2243,2011
2246,2009
2246,2010
2246,2011
2248,2009
2248,2010
2248,2011
2248,2012
2248,2013
2250,2009
2250,2010
2250,2011
2254,2010
2260,2009
2260,2010
2294,2009
2294,2010
2306,2009
2306,2010
2365,2009
2365,2010
2365,2011
2365,2012
2365,2013
2365,2014
2365,2015
2365,2016
2366,2009
2397,2010
2399,2009
2399,2010
2399,2011
2399,2012
2399,2013
2399,2014
2399,2015
2399,2016
2400,2009
2400,2010
2400,2011
2400,2012
2400,2013
2400,2014
2400,2015
2401,2015
2403,2009
2403,2010
2403,2011
2403,2012
2403,2013
2403,2014
2403,2015
2403,2016
2403,2017
2403,2018
2403,2019
2404,2009
2404,2010
2404,2011
2404,2012
2405,2009
2405,2010
2405,2011
2405,2012
2405,2013
2405,2014
2405,2015
2406,2009
2406,2010
2406,2011
2406,2012
2406,2013
2406,2014
2406,2015
2407,2009
2407,2010
2407,2011
2407,2012
2408,2009
2408,2010
2408,2011
2408,2013
2409,2009
2413,2009
2416,2009
2419,2009
2419,2010
2419,2011
2419,2012
2419,2013
2419,2014
2419,2015
2420,2009
2420,2010
2422,2009
2422,2010
2422,2011
2422,2012
2422,2013
2422,2014
2424,2009
2427,2009
2427,2010
2427,2011
2427,2012
2427,2013
2429,2009
2429,2010
2429,2011
2429,2013
2430,2009
2430,2010
2430,2011
2430,2012
2430,2013
2430,2014
2431,2009
2431,2010
2431,2011
2436,2009
2436,2012
2440,2009
2440,2010
2440,2011
2440,2012
2440,2013
2440,2014
2440,2015
2440,2016
2441,2011
2443,2009
2443,2010
2446,2009
2446,2010
2446,2011
2446,2013
2446,2014
2446,2015
2446,2016
2449,2009
2449,2010
2449,2011
2449,2012
2449,2013
2449,2014
2449,2015
2449,2016
2457,2009
2457,2011
2457,2012
2457,2013
2457,2014
2484,2009
2501,2009
2501,2010
2501,2011
2501,2012
2501,2013
2501,2014
2544,2009
2544,2010
2544,2011
2544,2012
2544,2013
2544,2014
2544,2015
2544,2016
2544,2017
2544,2018
2544,2019
2545,2009
2545,2010
2545,2011
2545,2012
2546,2009
2546,2010
2546,2011
2546,2012
2546,2013
2546,2014
2546,2015
2546,2016
2546,2017
2546,2018
2546,2019
2547,2009
2547,2010
